iter	Passed	Remaining
0	1	123
1	2	106
2	3	105
3	4	99
4	5	101
5	6	101
6	7	100
7	8	99
8	9	98
9	10	97
10	11	95
11	12	92
12	13	91
13	14	89
14	15	87
15	16	85
16	17	84
17	18	82
18	19	81
19	19	78
20	20	77
21	21	75
22	22	74
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	27	65
30	28	64
31	29	62
32	30	61
33	31	60
34	32	59
35	32	58
36	33	57
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
