iter	Passed	Remaining
0	0	896
1	1	763
2	2	700
3	2	668
4	3	662
5	3	651
6	4	646
7	5	649
8	5	649
9	6	647
10	7	644
11	7	635
12	8	631
13	8	625
14	9	618
15	10	621
16	10	616
17	11	608
18	11	606
19	12	608
20	13	609
21	13	612
22	14	611
23	14	609
24	15	608
25	16	609
26	16	609
27	17	606
28	18	606
29	18	602
30	19	598
31	19	595
32	20	590
33	20	588
34	21	586
35	21	584
36	22	582
37	23	583
38	23	583
39	24	581
40	24	578
41	25	576
42	25	575
43	26	572
44	27	573
45	27	571
46	28	569
47	28	570
48	29	571
49	29	569
50	30	566
51	30	564
52	31	563
53	32	561
54	32	560
55	33	559
56	33	558
57	34	556
58	34	555
59	35	555
60	36	554
61	36	553
62	37	552
63	37	551
64	38	551
65	38	550
66	39	547
67	39	547
68	40	546
69	41	545
70	41	545
71	42	544
72	42	543
73	43	541
74	43	541
75	44	541
76	45	540
77	45	539
78	46	538
79	46	536
80	47	535
81	47	534
82	48	530
83	48	529
84	49	529
85	49	527
86	50	527
87	50	527
88	51	526
89	51	525
90	52	524
91	53	523
92	53	523
93	54	522
94	54	522
95	55	520
96	55	519
97	56	518
98	56	517
99	57	516
100	57	515
101	58	515
102	59	515
103	59	514
104	60	513
105	60	513
106	61	512
107	61	511
108	62	510
109	63	510
110	63	509
111	64	508
112	64	508
113	65	509
114	66	509
115	66	508
116	67	507
117	67	507
118	68	507
119	69	507
120	69	506
121	70	506
122	70	505
123	71	505
124	72	505
125	72	505
126	73	504
127	74	505
128	74	505
129	75	505
130	76	504
131	76	505
132	77	504
133	78	504
134	78	505
135	79	505
136	80	504
137	80	504
138	81	503
139	81	502
140	82	501
141	82	499
142	83	498
143	83	497
144	84	497
145	84	496
146	85	496
147	86	495
148	86	495
149	87	494
150	87	493
151	88	492
152	88	491
153	89	490
154	89	489
155	90	489
156	91	489
157	91	488
158	92	489
159	93	488
160	93	486
161	94	486
162	94	485
163	95	484
164	95	484
165	96	484
166	97	485
167	97	484
168	98	484
169	99	483
170	100	485
171	100	484
172	101	484
173	101	483
174	102	482
175	103	482
176	103	482
177	104	481
178	104	481
179	105	480
180	105	479
181	106	478
182	106	477
183	107	476
184	107	475
185	108	474
186	109	474
187	109	474
188	110	474
189	111	473
190	111	472
191	111	471
192	112	470
193	113	469
194	113	469
195	114	468
196	114	468
197	115	469
198	116	469
199	117	469
200	117	468
201	118	468
202	119	468
203	119	467
204	120	466
205	121	467
206	122	467
207	122	467
208	123	466
209	123	465
210	124	464
211	124	463
212	125	463
213	125	462
214	126	461
215	127	461
216	127	461
217	128	461
218	129	460
219	129	459
220	130	459
221	130	458
222	131	457
223	131	457
224	132	456
225	132	455
226	133	455
227	134	454
228	134	453
229	135	452
230	135	451
231	136	450
232	136	450
233	137	449
234	137	448
235	138	447
236	139	447
237	139	447
238	140	447
239	140	446
240	141	445
241	142	444
242	142	444
243	143	443
244	143	442
245	144	441
246	144	440
247	145	439
248	145	439
249	146	438
250	146	438
251	147	437
252	148	437
253	148	436
254	149	435
255	149	434
256	150	434
257	150	433
258	151	432
259	151	431
260	152	431
261	153	431
262	153	430
263	154	430
264	154	429
265	155	428
266	155	427
267	156	427
268	156	426
269	157	425
270	158	425
271	158	425
272	159	425
273	160	424
274	160	423
275	161	423
276	161	422
277	162	421
278	162	420
279	163	419
280	163	419
281	164	418
282	165	418
283	165	417
284	166	417
285	166	416
286	167	415
287	167	415
288	168	414
289	169	413
290	169	413
291	170	412
292	170	411
293	171	411
294	171	410
295	172	410
296	173	409
297	173	408
298	174	407
299	174	407
300	175	406
301	175	405
302	176	404
303	176	404
304	177	403
305	177	403
306	178	403
307	179	402
308	179	401
309	180	400
310	180	399
311	180	399
312	181	398
313	182	397
314	182	397
315	183	397
316	184	397
317	185	396
318	185	396
319	186	395
320	186	395
321	187	394
322	187	393
323	188	392
324	188	392
325	189	391
326	190	391
327	190	390
328	191	389
329	191	389
330	192	388
331	192	388
332	193	387
333	193	386
334	194	385
335	194	385
336	195	385
337	196	384
338	196	383
339	197	383
340	197	382
341	198	381
342	198	380
343	199	380
344	199	379
345	200	378
346	200	377
347	201	377
348	201	376
349	202	376
350	203	375
351	203	374
352	203	373
353	204	372
354	204	372
355	205	371
356	205	370
357	206	370
358	206	369
359	207	368
360	208	368
361	208	367
362	209	367
363	209	366
364	210	366
365	211	365
366	211	365
367	212	364
368	212	363
369	213	363
370	213	362
371	214	362
372	215	361
373	215	361
374	216	360
375	217	360
376	217	359
377	218	358
378	218	358
379	219	357
380	219	357
381	220	356
382	221	356
383	221	355
384	222	355
385	223	354
386	223	354
387	224	353
388	224	352
389	225	352
390	225	351
391	226	351
392	227	350
393	227	350
394	228	349
395	228	349
396	229	348
397	229	347
398	230	347
399	231	346
400	231	346
401	232	345
402	232	345
403	233	344
404	234	343
405	234	343
406	235	342
407	235	341
408	236	341
409	236	340
410	237	339
411	237	339
412	238	338
413	238	337
414	239	337
415	239	336
416	240	336
417	240	335
418	241	334
419	241	334
420	242	333
421	243	332
422	243	332
423	244	331
424	244	330
425	245	330
426	245	329
427	246	329
428	246	328
429	247	327
430	247	327
431	248	326
432	248	326
433	249	325
434	249	324
435	250	323
436	251	323
437	251	323
438	252	322
439	252	321
440	253	321
441	254	320
442	254	320
443	255	319
444	255	319
445	256	318
446	256	317
447	257	317
448	258	316
449	258	316
450	259	315
451	259	314
452	260	314
453	260	313
454	261	312
455	261	312
456	262	311
457	262	310
458	263	311
459	264	310
460	265	309
461	265	309
462	266	308
463	266	307
464	267	307
465	267	306
466	268	305
467	268	305
468	269	304
469	269	304
470	270	303
471	270	303
472	271	302
473	272	301
474	272	301
475	273	300
476	273	300
477	274	299
478	274	298
479	275	298
480	275	297
481	276	297
482	276	296
483	277	295
484	278	295
485	278	294
486	279	294
487	279	293
488	280	293
489	280	292
490	281	291
491	282	291
492	282	290
493	283	290
494	284	289
495	284	289
496	285	288
497	285	287
498	286	287
499	286	286
500	287	285
501	287	285
502	287	284
503	288	284
504	289	283
505	289	282
506	290	282
507	290	281
508	291	281
509	291	280
510	292	279
511	292	279
512	293	278
513	293	277
514	294	277
515	295	276
516	295	276
517	296	275
518	297	275
519	297	274
520	298	274
521	298	273
522	299	272
523	299	272
524	300	271
525	300	271
526	301	270
527	302	270
528	302	269
529	303	268
530	303	268
531	304	267
532	304	266
533	305	266
534	305	265
535	306	265
536	307	264
537	307	264
538	308	264
539	309	263
540	309	262
541	310	262
542	311	261
543	311	261
544	312	260
545	313	260
546	313	259
547	314	259
548	315	258
549	315	258
550	316	257
551	316	257
552	317	256
553	318	256
554	318	255
555	319	255
556	320	254
557	320	254
558	321	253
559	321	252
560	322	252
561	322	251
562	323	251
563	323	250
564	324	249
565	325	249
566	325	248
567	326	248
568	327	247
569	327	247
570	328	246
571	328	245
572	329	245
573	329	244
574	330	244
575	330	243
576	331	243
577	332	242
578	333	242
579	333	241
580	334	240
581	334	240
582	335	239
583	335	239
584	336	238
585	336	237
586	337	237
587	338	237
588	339	236
589	339	235
590	340	235
591	340	234
592	341	234
593	341	233
594	342	233
595	343	232
596	343	232
597	344	231
598	345	231
599	345	230
600	346	229
601	346	229
602	347	228
603	347	228
604	348	227
605	349	226
606	349	226
607	350	225
608	350	225
609	351	224
610	351	224
611	352	223
612	353	222
613	353	222
614	354	221
615	354	221
616	355	220
617	355	219
618	356	219
619	356	218
